Year,Quarter,Company,Share
2013,Q3,Eircom,38.5
2013,Q3,UPC,28.5
2013,Q3,Vodafone,16.4
2013,Q3,Imagine,3.4
2013,Q3,Digiweb,2.2
2013,Q3,Sky,3.6
2013,Q3,Other,7.5
2013,Q4,Eircom,37.9
2013,Q4,UPC,28.5
2013,Q4,Vodafone,16.6
2013,Q4,Imagine,3.1
2013,Q4,Digiweb,2.1
2013,Q4,Sky,4.8
2013,Q4,Other,6.9
2014,Q1,Eircom,37.3
2014,Q1,UPC,28.8
2014,Q1,Vodafone,16.3
2014,Q1,Imagine,2.9
2014,Q1,Digiweb,2.1
2014,Q1,Sky,5.8
2014,Q1,Other,6.8
2014,Q2,Eircom,37.2
2014,Q2,UPC,28.8
2014,Q2,Vodafone,16.5
2014,Q2,Imagine,2.4
2014,Q2,Digiweb,2.1
2014,Q2,Sky,6.6
2014,Q2,Other,6.5
2014,Q3,Eircom,36.9
2014,Q3,UPC,29
2014,Q3,Vodafone,16.9
2014,Q3,Imagine,2.2
2014,Q3,Digiweb,2.1
2014,Q3,Sky,7
2014,Q3,Other,6
2014,Q4,Eircom,36.5
2014,Q4,UPC,28.9
2014,Q4,Vodafone,17.2
2014,Q4,Imagine,2
2014,Q4,Digiweb,2
2014,Q4,Sky,7.4
2014,Q4,Other,5.9
2015,Q1,Eircom,35.8
2015,Q1,UPC,28.8
2015,Q1,Vodafone,17.5
2015,Q1,Digiweb,2
2015,Q1,Sky,8.3
2015,Q1,Other,7.6
2015,Q2,Eircom,35.4
2015,Q2,Virgin Media,28.7
2015,Q2,Vodafone,17.7
2015,Q2,Sky,8.9
2015,Q2,Other,9.3
2015,Q3,Eir,35
2015,Q3,Virgin Media,28.7
2015,Q3,Vodafone,17.7
2015,Q3,Sky,9.4
2015,Q3,Other,9.1
2015,Q4,Eir,34.5
2015,Q4,Virgin Media,28.4
2015,Q4,Vodafone,18
2015,Q4,Sky,10
2015,Q4,Other,9.1
