Date,Open,High,Low,Close,Volume,Company
31/05/16,118.889999,119.150002,118.089996,119.010002,1494300,Accenture
23/05/16,116.690002,119.720001,115.839996,118.940002,1627900,Accenture
16/05/16,115.620003,117.589996,114.589996,116.470001,1853300,Accenture
09/05/16,115.279999,116.989998,115,115.440002,1704400,Accenture
02/05/16,112.900002,115.669998,112.25,115.550003,1950600,Accenture
25/04/16,113.860001,116.040001,112.290001,112.919998,2084900,Accenture
18/04/16,114.269997,116.18,113.639999,113.949997,2248600,Accenture
11/04/16,112.940002,115.309998,112.800003,114.82,2786600,Accenture
04/04/16,116.080002,116.199997,111.790001,112.830002,2384700,Accenture
28/03/16,114.43,116.519997,113.449997,116.349998,3238100,Accenture
21/03/16,107.330002,114.440002,107.139999,114.300003,3818600,Accenture
14/03/16,105.099998,108.730003,104.970001,107.769997,3795000,Accenture
07/03/16,102.440002,105.800003,101.360001,105.68,2364400,Accenture
29/02/16,100.68,103.550003,100.139999,103.18,2113800,Accenture
22/02/16,100.160004,102.099998,97.919998,101.120003,2391500,Accenture
16/02/16,96.239998,101.120003,95.480003,98.949997,3379900,Accenture
08/02/16,96.650002,96.650002,91.400002,94.699997,5067100,Accenture
01/02/16,104.75,106.800003,98.580002,98.970001,3798200,Accenture
25/01/16,102.209999,105.650002,101.239998,105.540001,3437800,Accenture
19/01/16,100.160004,102.360001,97.139999,102.239998,4207800,Accenture
11/01/16,98.480003,102.470001,98.080002,99.269997,3635000,Accenture
04/01/16,102.620003,103.059998,98,98.199997,2777000,Accenture
28/12/15,103.639999,106.389999,103.419998,104.5,1749700,Accenture
21/12/15,102.919998,104.790001,102.190002,104.230003,1542300,Accenture
14/12/15,105.690002,109.220001,101.910004,101.93,4340300,Accenture
07/12/15,109.129997,109.650002,105.019997,105.300003,2257300,Accenture
30/11/15,107.580002,109.260002,105.370003,109.099998,2328000,Accenture
23/11/15,107.970001,108.410004,106.709999,107.459999,1892700,Accenture
16/11/15,103.690002,108.43,103.559998,107.970001,3083700,Accenture
09/11/15,105.230003,105.730003,103.019997,103.150002,1886600,Accenture
02/11/15,107.080002,107.93,105.089996,106,2320000,Accenture
26/10/15,107.870003,109.860001,107.199997,107.199997,2239200,Accenture
19/10/15,102.779999,108.230003,102.400002,107.989998,2452000,Accenture
12/10/15,104.690002,105.220001,101.199997,103.010002,2458300,Accenture
05/10/15,99.970001,106.480003,99.940002,104.779999,2785800,Accenture
28/09/15,96.529999,99.419998,95.529999,99.389999,3186800,Accenture
21/09/15,98.050003,99.129997,95.669998,96.940002,3110100,Accenture
14/09/15,97.410004,99.940002,94.790001,97.529999,2372400,Accenture
08/09/15,96.269997,97.849998,95.330002,97.349998,2483100,Accenture
31/08/15,95.209999,95.940002,91.68,94.449997,3074100,Accenture
24/08/15,91.339996,96.5,88.43,95.849998,4148700,Accenture
