Year,Country,Population
2015,China,1376048943
2015,India,1311050527
2015,United States,321773631
2015,Indonesia,257563815
2015,Brazil,207847528
2015,Pakistan,188924874
2015,Nigeria,182201962
2015,Bangladesh,160995642
2015,Russia,143456918
2015,Mexico,127017224
2014,China,1369435670
2014,India,1295291543
2014,United States,319448634
2014,Indonesia,254454778
2014,Brazil,206077898
2014,Pakistan,185044286
2014,Nigeria,177475986
2014,Bangladesh,159077513
2014,Russia,143429435
2014,Japan,126794564
2013,China,1362514260
2013,India,1279498874
2013,United States,317135919
2013,Indonesia,251268276
2013,Brazil,204259377
2013,Pakistan,181192646
2013,Nigeria,172816517
2013,Bangladesh,157157394
2013,Russia,143367341
2013,Japan,126984964
2012,China,1355386952
2012,India,1263589639
2012,United States,314799465
2012,Indonesia,248037853
2012,Brazil,202401584
2012,Pakistan,177392252
2012,Nigeria,168240403
2012,Bangladesh,155257387
2012,Russia,143287536
2012,Japan,127139821
2011,China,1348174478
2011,India,1247446011
2011,United States,312390368
2011,Indonesia,244808254
2011,Brazil,200517584
2011,Pakistan,173669648
2011,Nigeria,163770669
2011,Bangladesh,153405612
2011,Russia,143211476
2011,Japan,127252900
2010,China,1340968737
2010,India,1230984504
2010,United States,309876170
2010,Indonesia,241613126
2010,Brazil,198614208
2010,Pakistan,170043918
2010,Nigeria,159424742
2010,Bangladesh,151616777
2010,Russia,143158099
2010,Japan,127319802
2009,China,1333807063
2009,India,1214182182
2009,United States,307231961
2009,Indonesia,238465165
2009,Brazil,196701298
2009,Pakistan,166520983
2009,Nigeria,155207145
2009,Bangladesh,149905836
2009,Russia,143126660
2009,Japan,127340884
2008,China,1326690636
2008,India,1197070109
2008,United States,304473143
2008,Indonesia,235360765
2008,Brazil,194769696
2008,Pakistan,163096985
2008,Nigeria,151115683
2008,Bangladesh,148252473
2008,Russia,143123163
2008,Japan,127317900
2007,China,1319625197
2007,India,1179685631
2007,United States,301655953
2007,Indonesia,232296830
2007,Brazil,192784521
2007,Pakistan,159767672
2007,Nigeria,147152502
2007,Bangladesh,146592687
2007,Russia,143180249
2007,Japan,127250015
2006,China,1312600877
2006,India,1162088305
2006,United States,298860519
2006,Indonesia,229263980
2006,Brazil,190698241
2006,Pakistan,156524189
2006,Bangladesh,144839238
2006,Russia,143338407
2006,Nigeria,143318011
2006,Japan,127136576
2005,China,1305600630
2005,India,1144326293
2005,United States,296139635
2005,Indonesia,226254703
2005,Brazil,188479240
2005,Pakistan,153356383
2005,Russia,143622566
2005,Bangladesh,142929979
2005,Nigeria,139611303
2005,Japan,126978754
